id,name,website,macro_region,subregion,country,coverage_type,coverage_area,publication_type,languages,domain_rating,domain_rating_provider,domain_rating_measured_at,link_type,link_evidence_url,publication_routes,cost_model,priority,status,last_verified,source_urls
rm-the-guardian-weekly-theguardian-com,The Guardian Weekly,https://theguardian.com/weekly,europe,northern-europe,united-kingdom,local-area,Kings Place,newspaper,en,93,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://theguardian.com/weekly|https://www.wikidata.org/wiki/Q3446306
rm-los-angeles-times-latimes-com,Los Angeles Times,https://www.latimes.com,north-america,north-america,united-states,state-province,Los Angeles and California,newspaper,en,92,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.latimes.com
rm-newsweek-newsweek-com,Newsweek,https://www.newsweek.com,north-america,north-america,united-states,metro-city,New York City,digital-news,en,91,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.newsweek.com|https://www.wikidata.org/wiki/Q188413
rm-chicago-tribune-chicagotribune-com,Chicago Tribune,https://www.chicagotribune.com,north-america,north-america,united-states,metro-city,Chicago and northern Illinois,newspaper,en,90,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,unknown,2026-09-01,https://www.chicagotribune.com
rm-ouest-france-ouest-france-fr,Ouest-France,https://www.ouest-france.fr,europe,western-europe,france,multi-region,Western France,newspaper,fr,90,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,unknown,2026-09-01,https://www.ouest-france.fr
rm-suddeutsche-zeitung-sueddeutsche-de,Süddeutsche Zeitung,https://www.sueddeutsche.de,europe,western-europe,germany,local-area,Munich,newspaper,de,90,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.sueddeutsche.de|https://www.wikidata.org/wiki/Q158870
rm-the-boston-globe-bostonglobe-com,The Boston Globe,https://www.bostonglobe.com,north-america,north-america,united-states,metro-city,Greater Boston and New England,newspaper,en,90,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.bostonglobe.com
rm-the-seattle-times-seattletimes-com,The Seattle Times,https://www.seattletimes.com,north-america,north-america,united-states,state-province,Seattle and Washington State,newspaper,en,90,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.seattletimes.com
rm-the-sydney-morning-herald-smh-com-au,The Sydney Morning Herald,https://www.smh.com.au,oceania,australia-new-zealand,australia,state-province,Sydney and New South Wales,newspaper,en,90,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.smh.com.au
rm-evening-standard-standard-co-uk,Evening Standard,https://www.standard.co.uk,europe,northern-europe,united-kingdom,local-area,London,newspaper,en,89,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.standard.co.uk|https://www.wikidata.org/wiki/Q666494
rm-toronto-star-thestar-com,Toronto Star,https://www.thestar.com,north-america,north-america,canada,local-area,Canada,newspaper,en,89,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.thestar.com|https://www.wikidata.org/wiki/Q1067299
rm-der-tagesspiegel-tagesspiegel-de,Der Tagesspiegel,https://www.tagesspiegel.de,europe,western-europe,germany,region,Berlin and Brandenburg,newspaper,de,88,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.tagesspiegel.de
rm-la-vanguardia-lavanguardia-com,La Vanguardia,https://www.lavanguardia.com,europe,southern-europe,spain,region,Barcelona and Catalonia,newspaper,es,88,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.lavanguardia.com
rm-new-york-daily-news-nydailynews-com,New York Daily News,https://nydailynews.com,north-america,north-america,united-states,metro-city,New York City,newspaper,en,88,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,unknown,2026-09-01,https://nydailynews.com|https://www.wikidata.org/wiki/Q627827
rm-san-francisco-chronicle-sfchronicle-com,San Francisco Chronicle,https://www.sfchronicle.com,north-america,north-america,united-states,metro-city,San Francisco Bay Area,newspaper,en,88,Ahrefs,2026-09-01,unknown,,unknown,unknown,P1,active,2026-09-01,https://www.sfchronicle.com
